English,Translation
Guns don't kill people. People kill people.,বন্দুক মানুষ মারে না। মানুষে মানুষ মারে।
Have you ever seen your mother in a bikini?,আপনি কখনও আপনার মাকে বিকিনি পরিহিত অবস্থায় দেখেছেন কি?
How could I be a robot? Robots can't dream.,আমি কীভাবে রোবট হতে পারি? রোবট স্বপ্ন দেখতে পারে না।
I came near to being run over by the truck.,আমি ট্রাকে চাপা পড়তে পড়তে বেঁচে গিয়েছিলাম।
I can't believe that you bought that house.,আমি বিশ্বাস করতে পারছি না যে আপনি সেই বাড়িটি কিনেছেন।
I can't seem to focus on work at all today.,আমি আজকে কাজে মনযোগ দিতে পারছি না।
I don't think that Tom is going to hear us.,আমি মনে করি না যে টম আমাদের কথা শুনবে।
I don't want to waste time on this problem.,আমি এই সমস্যায় সময় নষ্ট করতে চাই না।
I have to take my medicine every six hours.,আমাকে ছয় ঘণ্টা অন্তর অন্তর ওষুধ খেতে হয়।
I should've hit Tom while I had the chance.,যখন আমার কাছে সুযোগ ছিলো তখনই আমার টমকে আঘাত করা উচিত ছিল।
I still haven't found what I'm looking for.,আমি যা খুঁজছি তা এখনও পাইনি।
I think you'll probably be able to do that.,আমি মনে করি আপনি সম্ভবত এটি করতে সক্ষম হবেন।
I wouldn't want to do that if it's illegal.,এটা বেআইনি হলে আমি এটা করতে চাই না।
I'm going to stay just a little bit longer.,আমি আরও কিছু সময় থাকব।
I've made a list of things I'd like to buy.,আমি কী কী কিনতে চাই তার একটা তালিকা বানিয়েছি।
In Japan a new school year starts in April.,জাপানে বিদ্যালয়ের নতুন বছর এপ্রিলে শুরু হয়।
Is she singing a song or playing the piano?,সে কি গান গাইছে না কি পিয়ানো বাজাচ্ছে?
Is there anything else you want to tell me?,আর অন্য কিছু কি আপনি আমাকে বলতে চান?
Nothing that Tom does surprises me anymore.,টমের কোন কাজই এখন আমাকে অবাক করে না।
The Battle of Gettysburg lasted three days.,গেটিসবার্গের যুদ্ধ তিন দিন স্থায়ী হয়েছিল।
The villagers believed in life after death.,গ্রামের মানুষরা মৃত্যুর পরের জীবনে বিশ্বাস করত।
These three countries were united into one.,এই তিনটি দেশ একত্রিত হয়েছিল।
This carpet is more valuable than that one.,এই কার্পেটটি এটার চেয়ে বেশি মূল্যবান।
Tom comes here three or four times a month.,টম এখানে মাসে তিন-চার বার আসে।
Tom is the only one who doesn't seem happy.,একমাত্র টমকেই খুশি বলে মনে হচ্ছে না।
Tom said Mary didn't need to do that again.,টম বললো মেরির আর এটা করার দরকার নেই।
Tom said he knew who Mary's ex-husband was.,টম বলেছিল যে সে জানে মেরির প্রাক্তন স্বামী কে।
Tom said he knew who Mary's ex-husband was.,টম বলেছিল মেরির প্রাক্তন স্বামী কে তা সে জানে।
Tom sat alone on the porch smoking a cigar.,টম একা একা উঠোনে বসে সিগার খাচ্ছিলো।
Tom seems to know quite lot about baseball.,টম বেসবল সম্বন্ধে অনেক কিছু জানে বলে মনে হচ্ছে।
"Tom was standing at the bar, having a beer.",টম বারে দাঁড়িয়ে বিয়ার খাচ্ছিল।
Tom will arrive in Boston tomorrow morning.,টম আগামীকাল সকালে বস্টনে পৌছাবে।
We need to get in touch with Tom's parents.,টমের বাবা মায়ের সঙ্গে আমাদের যোগাযোগ করা দরকার।
We should help each other in times of need.,প্রয়োজনের সময় আমাদের একে অপরকে সাহায্য করা উচিত।
We should help each other in times of need.,প্রয়োজনের সময় আমাদের পরস্পরকে সহযোগিতা করা উচিত।
What'll you be doing at this time tomorrow?,কাল আপনি এই সময় কি করবেন?
What'll you be doing at this time tomorrow?,কাল তুমি এই সময় কি করবে?
Would you please repeat what you just said?,আপনি যেটা বললেন সেটা কি দয়া করে আর একবার বলতে পারবেন?
You've got to do something about this soon.,আপনাকে খুব তারাতারিই এই ব্যাপারে কিছু একটা করতে হবে।
Do you really want me to go there right now?,আপনি কি সত্যিই চান আমি এখন সেখানে যাই?
Don't ask what they think. Ask what they do.,"জিজ্ঞাসা কোর না তারা কি ভাবে, জিজ্ঞাসা করো তারা কি করে।"
"Even if it rains, I'll go swimming tomorrow.",কাল বৃষ্টি হলেও আমি সাঁতার কাটতে যাবো।
Have you ever seen the person in this photo?,আপনি কি এই ছবির মধ্যের লোকটিকে দেখেছেন?
Have you ever seen the person in this photo?,তুমি কি এই ছবির মধ্যের লোকটিকে দেখেছো?
How much does it cost to stay at that hotel?,ওই হোটেলে থাকার জন্য কত খরচ পরবে?
I can't understand what he is trying to say.,আমি বুঝতে পারছি না উনি কি বলতে চাইছেন।
I didn't know Tom was capable of doing that.,আমি জানতাম না টম এটা করতে সক্ষম।
I have a feeling that Tom doesn't like Mary.,আমার মনে হচ্ছে টম মেরিকে পছন্দ করে না।
I hope Tom will tell me what I need to know.,আশা করি আমার যা জানা প্রয়োজন তা টম আমাকে বলবে।
I only speak French at home with my parents.,আমি বাড়িতে মা বাবার সঙ্গে খালি ফরাসিতে কথা বলি।
I still get to Boston at least once a month.,আমি এখনও মাসে অন্তত একবার বোস্টনে যাই।
I think you've read too many romance novels.,আমার মনে হয় আপনি অনেক রোমান্স উপন্যাস পড়েছেন।
I'd like to dedicate this song to my mother.,আমি এই গানটি আমার মাকে উৎসর্গ করতে চাই।
I'm not going to allow this to happen again.,আমি এটা আর হতে দেবো না।
"In order to do that, you have to take risks.",সেটা করতে চাইলে আপনাকে ঝুঁকি নিতে হবে।
It sounds like you had a successful meeting.,মনে হচ্ছে আপনি একটি সফল মিটিং করেছেন।
It takes years to master a foreign language.,বিদেশি ভাষা রপ্ত করতে অনেক বছর লেগে যায়।
Kublai Khan is the grandson of Genghis Khan.,কুবলাই খান চেঙ্গিস খানের নাতি।
Motorists are advised to drive with caution.,গাড়ি চালকদের সাবধানে গাড়ি চালানোর পরামর্শ দেওয়া হচ্ছে।
My father has assured us that that was true.,আমার বাবা আমাদের আশ্বস্ত করেছে যে এটা সত্য।
My friend doesn't believe that ghosts exist.,আমার বন্ধু ভূতের অস্তিত্বে বিশ্বাস করে না।
"My watch stopped, so I didn't know the time.","আমার ঘড়ি বন্ধ হয়ে গিয়েছিল, তাই আমি সময় জানতাম না।"
Please help me. I don't know what I'm doing.,আমাকে সাহায্য করুন! আমি জানি না আমি কী করছি।
Several children were playing near the pond.,পুকুরের কাছে বেশ কিছু শিশু খেলছিল।
That's why I told you not to go by yourself.,সেই কারণেই আমি তোমাকে একা একা যেতে নিষেধ করেছিলাম।
The Olympic Games are held every four years.,প্রতি চার বছর অন্তর অলিম্পিক গেমস অনুষ্ঠিত হয়।
This coffee is so hot that I can't drink it.,এই কফি এতই গরম যে আমি খেতে পারছি না।
This is the very book that I wanted to read.,এটিই সেই বই যেটি আমি পড়তে চাই।
Tom and Mary's wedding anniversary is today.,টম এবং মেরির বিবাহ বার্ষিকী আজ।
Tom didn't have the nerve to tell the truth.,টমের সত্য বলার সাহস ছিল না।
Tom has three sons. All of them are doctors.,টমের তিনটি ছেলে আছে। তাদের সকলেই ডাক্তার।
Tom is going on a picnic tomorrow with Mary.,টম আগামীকাল মেরির সাথে পিকনিকে যাচ্ছে।
Tom lied about his age to get into the club.,টম ক্লাবে ঢোকার জন্য নিজের বয়সের ব্যাপারে মিথ্যে কথা বলেছে।
Tom made a list of places he wants to visit.,টম ভ্রমণ করতে চায় এমন স্থানগুলোর একটি তালিকা বানিয়েছে।
Tom said that Mary could've done that alone.,টম বলল যে মেরি একাই এটা করতে পারত।
"Tom tried to speak to Mary, but he couldn't.","টম মেরির সাথে কথা বলার চেষ্টা করেছিল, কিন্তু সে পারেনি।"
What number bus do I take to get to Waikiki?,ওয়াইকিকি যাওয়ার জন্য কত নম্বর বাস নেব?
Would you like to come with us to the beach?,আপনি কি আমাদের সাথে সমুদ্র সৈকতে আসতে চান?
"You know I don't have to do that, don't you?","তুমি জানো আমাকে এটা করতে হবে না, তাই না?"
"You're not going to get away with this, Tom.","টম, তুমি এর থেকে পার পেয়ে যাবে না।"
You're not the first person to tell me that.,আপনি প্রথম মানুষ নন যে আমাকে এই কথাটা বলেছে।
Alexander Graham Bell invented the telephone.,আলেকজান্ডার গ্রাহাম বেল টেলিফোন আবিষ্কার করেন।
An official statement was released yesterday.,গতকাল একটি আনুষ্ঠানিক বিবৃতি প্রকাশ করা হয়।
Are there many Chinese restaurants in Boston?,বস্টনে কি অনেক চিনী রেস্তোরাঁ আছে?
Did Tom actually come to ask for money again?,টম কি আসলেই আবার টাকা চাইতে এসেছে?
Did it not occur to you to close the windows?,জানালা বন্ধ করার কথা কি আপনার মাথায় আসেনি?
Earthquakes and floods are natural disasters.,ভুমিকম্প আর বন্যা প্রকৃতিক বিপর্যয়।
Excuse me for opening your letter by mistake.,ভুল করে আপনার চিঠি খোলার জন্য আমাকে ক্ষমা করবেন।
How long does it take to walk to the station?,স্টেশন অবধি হেঁটে যেতে কতক্ষণ লাগে?
How much does it cost to eat at such a place?,ওই রকম জায়গায় খেতে গেলে কত খরচ পরবে?
"Humans are healed, but machines are repaired.","মানুষকে সুস্থ করে তোলা হয়, কিন্তু যন্ত্রকে মেরামত কতা হয়।"
I am going to do it whether you agree or not.,"তুমি রাজি হও বা না হও, আমি এটা করব।"
I am going to stay here for a couple of days.,আমি এখানে দু এক দিনের জন্য থাকব।
I am staying at the hotel for the time being.,আপাতত আমি একটা হোটেলে রয়েছি।
I can only speak French and a little English.,আমি খালি ফরাসি আর একটু ইংরাজিতে কথা বলতে পারি।
I don't like to go outside when it's raining.,বৃষ্টির সময় আমি বাইরে যাওয়া পছন্দ করি না।
I have to give back the book before Saturday.,আমাকে শনিবারের আগে বইটা ফেরত দিতে হবে।
I know that you and Tom didn't sing together.,আমি জানি আপনি এবং টম একসাথে গান করেননি।
"I want a car, but I have no money to buy one.",আমি একটা গাড়ি চাই কিন্তু গাড়ি কেনার টাকা আমার নেই।
I'll do my best not to disturb your studying.,তোমার পড়াশুনায় বিরক্ত না করার যথাসাধ্য চেষ্টা করবো।
I'll show you how to separate gold from sand.,বালু থেকে সোনা কীভাবে আলাদা করতে হয় তা আমি আপনাকে দেখাবো।
"I've discussed this with you before, I think.",আমার মনে হয় এই বিষয়ে আগেও আপনার সাথে আলোচনা করেছি।
It would be difficult to do that by yourself.,নিজে নিজে এটা করা কঠিন।
Mexico is a country located in North America.,মেক্সিকো উত্তর আমেরিকায় অবস্থিত একটি দেশ।
President Roosevelt won the election of 1940.,রাষ্ট্রপতি রুজভেল্ট ১৯৪০ সালে নির্বাচনে জয়ী হন।
Some minerals are important for human health.,কিছু খনিজ মানব স্বাস্থ্যের জন্য গুরুত্বপূর্ণ।
The bus stop is five minutes' walk from here.,বাস স্টপটা এখান থেকে পাঁচ মিনিটের হাঁটা পথ।
The concept of zero comes from Hindu culture.,শূন্যের ধারণা হিন্দু সংস্কৃতি হতে এসেছে।
The court found him guilty of stealing money.,আদালত তাকে টাকা চুরির দায়ে দোষী সাব্যস্ত করেছে।
The newspaper says that he committed suicide.,"পত্রিকায় বলা হয়, তিনি আত্মহত্যা করেছেন।"
This is the third longest river in the world.,এটা পৃথিবীর তৃতীয় দীর্ঘতম নদী।
Tom is eating breakfast alone in the kitchen.,টম রান্নাঘরে একলা প্রাতরাশ করছে।
Tom is reading a novel by Sidney Sheldon now.,টম এখন সিডনি শেলডনের লেখা একটি উপন্যাস পড়ছে।
Tom said he was going to ask Mary to do that.,টম বলেছিল যে সে মেরিকে এটি করতে বলবেন।
Tom said that Mary wanted to see the manager.,টম বলল যে মেরি ব্যবস্থাপককে দেখতে চায়।
Tom saw dirty footprints on the white carpet.,টম কার্পেটের উপর নোংরা পায়ের ছাপ দেখতে পেল।
"Tom was standing at the bar, drinking a beer.",টম বারে দাঁড়িয়ে বিয়ার খাচ্ছিল।
Tom went to the post office to mail a letter.,টম একটা চিঠি ডাকে দেওয়ার জন্য পোস্ট অফিসে গেলো।
"Tom works very hard, but not as hard as Mary.","টম খুব খাটে, কিন্তু মেরির মতো নয়।"
"Turn to the right, and you'll find my office.",ডানে বাঁক নিলে আপনি আমার অফিস পাবেন।
Two weeks have passed and I haven't seen you.,আমি আপনাকে দেখি না দুই সপ্তাহ পার হয়ে গেছে।
Visit our website for additional information.,অতিরিক্ত তথ্যের জন্য আমাদের ওয়েবসাইটে যান।
"Without your assistance, I would have failed.",আপনার সাহায্য ব্যাতিত আমি অকৃতকার্য হতাম।
Would you like to see some photos of my trip?,আপনি কি আমার ভ্রমণের কিছু ছবি দেখতে চান?
Your success is the result of your hard work.,আপনার সাফল্য আপনার কঠোর পরিশ্রমেরই ফল।
A lot of English words are derived from Latin.,ইংরাজির অনেক শব্দ লাতিন থেকে উৎপন্ন হয়েছে।
A river separates the city into east and west.,শহরটাকে একটা নদী পুর্ব আর পশ্চিমে ভাগ করেছে।
Cathode rays carry a negative electric charge.,ক্যাথোড রশ্মি ঋণাত্মক বৈদ্যুতিক চার্জ বহন করে।
Do you like looking at yourself in the mirror?,আপনি কি আয়নায় নিজেকে দেখতে পছন্দ করেন?
Dynamite was invented by Alfred Nobel in 1857.,১৮৫৭ সালে আলফ্রেড নোবেল ডিনামাইট আবিষ্কার করেন।
He listened to the music with his eyes closed.,তিনি চোখ বন্ধ করে গান শুনতেন।
How long do you think Tom has been doing this?,কতক্ষণ ধরে টম এই কাজ করছে বলে আপনি মনে করেন?
How many black and white movies have you seen?,আপনি কতগুলো সাদা-কালো সিনেমা দেখেছেন?
I always have to wear a tie because of my job.,চাকরির জন্য আমাকে সবসময় টাই পরতে হয়।
I asked her to make four copies of the letter.,আমি তাকে চিঠিটির চারটি অনুলিপি করতে বলেছি।
I can't believe that Tom really said no to me.,আমি বিশ্বাসই করতে পারছি না যে সত্যিই আমাকে না বলেছে।
I don't know if today is Tuesday or Wednesday.,আমি জানিনা আজ মঙ্গলবার না বুধবার।
I feed my cat every morning and every evening.,আমি আমার বেড়ালকে রোজ সকালে আর বিকালে খাবার দিই।
I think that Tom is reading a detective novel.,আমার মনে হয় টম একটা গোয়েন্দা উপন্যাস পড়ছে।
I think that's why Tom didn't want to do that.,আমার মনে হয় একারণেই টম ওটা করতে চায়নি।
I wouldn't be calling if it weren't important.,দরকারি না হলে আমি ফোন করতাম না।
I'm sure my parents won't let me go by myself.,আমি নিশ্চিত আমার বাবা-মা আমাকে একলা যেতে দেবে না।
It looks like Tom has broken a couple of ribs.,মনে হচ্ছে টমের কয়েকটা পাঁজর ভেঙ্গেছে।
It's not always so easy to do the right thing.,সঠিক জিনিসটা করা সবসময় অত সহজ হয় না।
Many companies advertise their products on TV.,অনেক কোম্পানি টিভিতে তাদের পণ্যের বিজ্ঞাপন দেয়।
She doesn't like to leave anything unfinished.,উনি কোন কাজই অসমাপ্ত রাখেন না।
Tell Tom I'm going to be gone for three weeks.,টমকে বলুন আমি তিন সপ্তাহের জন্য চলে যাব।
The police searched Tom's apartment for clues.,পুলিশ সূত্রের জন্য টমের অ্যাপার্টমেন্টে তল্লাশি চালায়।
There is no way I'm letting you do this alone.,আমি কোনমতেই এটা তোমাকে একলা করতে দেবো না।
There were few students left in the classroom.,শ্রেণীকক্ষের মধ্যে অল্পসংখ্যক ছাত্র বাকি ছিল।
They're celebrating their wedding anniversary.,তারা তাদের বিবাহ বার্ষিকী উদযাপন করছেন।
This plan will be very expensive to carry out.,এই পরিকল্পনা বাস্তবায়নে অনেক টাকা খরচ হবে।
Tom and I don't know anything about Australia.,টম এবং আমি অস্ট্রেলিয়া সম্পর্কে কিছুই জানি না।
Tom and Mary are planning to do that together.,টম এবং মেরি একসাথে এটি করার পরিকল্পনা করছে।
Tom and Mary live in Australia with their dad.,টম এবং মেরি তাদের বাবার সাথে অস্ট্রেলিয়ায় থাকেন।
Tom has decided that he's going to come early.,টম সিদ্ধান্ত নিয়েছে যে সে তাড়াতাড়ি আসবে।
Tom is a boy's name and Mary is a girl's name.,টম একটা ছেলের নাম আর মেরি একটা মেয়ের নাম।
Tom is going to be thirty years old next year.,আগামী বছর টমের বয়স হবে ৩০ বছর।
Tom told me he was going to leave early today.,টম আমাকে বলেছিল সে আজ তাড়াতাড়ি চলে যাবে।
What is the distance from here to the station?,এখান থেকে স্টেশনের দূরত্ব কতটা?
What time does the next train leave for Tokyo?,টোকিওর জন্য পরের ট্রেনটা কটার সময় ছাড়ে?
"When I got home, I found I had lost my wallet.",যখন বাড়ি ফিরলাম তখন দেখলাম আমি আমার মানিব্যাগটি হারিয়ে ফেলেছি।
"Which one do you prefer, this one or that one?","আপনার কোনটা পছন্দ, এটা না ওটা?"
You shouldn't have gone into the forest alone.,তোমার একা একা জঙ্গলে যাওয়া উচিত হয় নি।
"Thank you for helping me. ""Don't mention it.""","আমাকে সাহায্য করার জন্য ধন্যবাদ। ""ব্যাপার না।"""
"What kind of book are you reading? ""A novel.""","আপনি কী ধরনের বই পড়ছেন? ""উপন্যাস।"""
An angle of 90 degrees is called a right angle.,৯০ ডিগ্রি কোণকে এক সমকোণ বলে।
Can you tell me where I can find a guest house?,আমি একটা গেস্ট হাউস কোথায় পাব বলতে পারবেন?
Don't forget to return the book to the library.,বইটি গ্রন্থাগারে ফেরত দিতে ভুলে যেও না।
Don't you want to hear what Tom said about you?,টম আপনাকে নিয়ে কী বলেছে তা শুনতে চান না?
How long does it take from here to the station?,এখান থেকে স্টেশন যেতে কতক্ষণ লাগে?
How many Christmas cards did you get last year?,তুমি গত বছর কতগুলো খ্রিস্টমাস কার্ড পেয়েছিলে?
How much do you know about the US Constitution?,আপনি মার্কিন সংবিধান সম্পর্কে কতটা জানেন?
I can't see in because the curtains are closed.,পর্দা বন্ধ থাকায় আমি ভিতরে দেখতে পাচ্ছি না।
I couldn't have done it without you. Thank you.,তোমাকে ছাড়া এটা করতেই পারতাম না। ধন্যবাদ।
I couldn't have done it without you. Thank you.,আপনাকে ছাড়া এটা করতেই পারতাম না। ধন্যবাদ।
I found my mother busy ironing out some shirts.,আমি দেখলাম যে আমার মা কিছু জামা ইস্তিরি করতে ব্যাস্ত।
I have to go shopping. I'll be back in an hour.,আমাকে দোকানে যেতে হবে। আমি এক ঘন্টার মধ্যেই ফিরে আসবো।
I hope to graduate from university next spring.,আশা করি আগামী বসন্তে বিশ্ববিদ্যালয়ে আমার স্নাতক সম্পন্ন হবে।
I like Christie's novels better than Dickens's.,আমি ডিকেন্সের চেয়ে ক্রিস্টির উপন্যাস বেশি পছন্দ করি।
I like children. That's why I became a teacher.,আমি বাচ্চাদের পছন্দ করি। তাই আমি শিক্ষক হয়েছি।
I reached the museum after a few minutes' walk.,কয়েক মিনিট হাঁটার পর জাদুঘরে পৌঁছলাম।
I think that Tom didn't want to leave so early.,আমার মনে হয় টম এত তাড়াতাড়ি চলে যেতে চায়নি।
"My room is small, but it's large enough for me.","আমার রুম ছোট, কিন্তু এটা আমার জন্য যথেষ্ট বড়।"
"Obviously, Tom hasn't told anyone about us yet.",স্পষ্টতই টম কাউকেই আমাদের ব্যাপারে বলেনি।
One million people lost their lives in the war.,যুদ্ধে দশ লক্ষ মানুষ তাদের প্রাণ হারিয়েছিলেন।
Please lend me the video when you have seen it.,ভিডিওটি দেখার পর দয়া করে আমাকে ধার দিবেন।
She isn't old enough to get a driver's license.,চালকের লাইসেন্স পাওয়ার বয়স তার হয়নি।
The Roman Empire survived for a thousand years.,রোমান সাম্রাজ্য এক হাজার বছর ধরে টিকে ছিল।
The garbage collector comes three times a week.,আবর্জনা সংগ্রহকারী সপ্তাহে তিনবার আসে।
The sun rises in the east and sets in the west.,সূর্য পূর্বদিকে উদয় হয় আর পশ্চিম দিকে অস্ত যায়।
Tom and Mary spent the day avoiding each other.,টম এবং মেরি একে অপরকে এড়িয়ে দিন কাটিয়েছেন।
Tom has been doing that for a really long time.,টম সত্যিই দীর্ঘ সময় ধরে এটি করছে।
Tom has been suffering from a headache all day.,টম সারাদিন ধরে মাথা যন্ত্রনায় ভুগছে।
Tom is thinking of going to Boston next spring.,টম পরের বসন্তে বস্টন যাওয়ার কথা ভাবছে।
"Tom kept knocking on the door, but nobody came.","টম বারবার দরজায় ধাক্কা দিলো, কিন্তু কেউ বেরোলো না।"
"Tom kept knocking on the door, but nobody came.","টম বারবার দরজায় ধাক্কা দিলেন, কিন্তু কেউ বেরোলো না।"
"Tom kept knocking on the door, but nobody came.","টম বারবার দরজায় ধাক্কা দিলেন, কিন্তু কেউ বেরোলেন না।"
"Tom kept knocking on the door, but nobody came.","টম বারবার দরজায় ধাক্কা দিলো, কিন্তু কেউ বেরোলেন না।"
We may go to Australia next month to visit Tom.,আমরা হয়তো আগামী মাসে টমকে দেখতে অস্ট্রেলিয়া যেতে পারি।
We might stay in Boston for another three days.,আমরা হয়তো আরও তিনদিন বস্টনে থাকব।
What's the difference between a dog and a wolf?,কুকুর এবং নেকড়ের মাঝে পার্থক্য কী?
Where can I catch the bus to the Tokyo station?,টকিও স্টেশনে যাওয়ার জন্য বাস কোথা থেকে পাব?
An enemy of an enemy is not necessarily an ally.,শত্রুর শত্রু যে মিত্রই হবে তার কোনো মানে নেই।
"As humans age, their physical strength declines.",বয়স বৃদ্ধির সাথে সাথে মানুষের শারীরিক শক্তি কমে যায়।
"Besides being a surgeon, he was a famous writer.",সার্জন হওয়ার পাশাপাশি তিনি একজন বিখ্যাত লেখক ছিলেন।
Could you please speak a little bit more slowly?,আপনি কি অনুগ্রহ করে আরও একটু ধীরে ধীরে কথা বলতে পারবেন?
Do you think we can find someone to replace Tom?,তুমি কি মনে করো যে টমের বদলে আর কাউকে পাওয়া যাবে?
Do you think we can find someone to replace Tom?,আপনি কি মনে করেন যে টমের বদলে আর কাউকে পাওয়া যাবে?
Go along this street and turn right at the bank.,এই রাস্তা ধরে যাবেন আর ব্যাঙ্কের কাছ থেকে ডানদিকে বেঁকে যাবেন।
He departed for London the day before yesterday.,উনি গত পরশু লন্ডনের উদ্দেশ্যে রওনা দিয়েছেন।
How did you know that Tom was born in Australia?,আপনি কিভাবে জানলেন যে টমের জন্ম অস্ট্রেলিয়ায়?
How long would it take to swim across the river?,সাঁতার দিয়ে নদী পার হতে কতক্ষণ লাগবে?
I didn't think that Tom would have any problems.,আমি ভাবিনি যে টমের কোনো সমস্যা হবে।
I don't know what country those people are from.,ঐ লোকগুলো কোন দেশের তা আমি জানি না।
I know what I want. I just haven't found it yet.,আমি জানি আমি কি চাই। খালি আমি সেটা এখনো খুজে পাইনি।
"I like grapes, but I can't eat too many of them.","আমার আঙুর ভালো লাগে, কিন্তু আমি খুব বেশি খেতে পারি না।"
I received your letter the day before yesterday.,আমি গত পরশু আপনার চিঠি পেয়েছি।
I think badminton is more difficult than tennis.,আমি মনে করি টেনিসের চেয়ে ব্যাডমিন্টন বেশি কঠিন।
"I think that if you tried to do that, you could.",আমি মনে করি আপনি যদি এটি করার চেষ্টা করতেন তবে আপনি করতে পারতেন।
I think that it'll happen sooner than you think.,আমি মনে করি যে এটি আপনার ধারণার চেয়ে তাড়াতাড়ি ঘটবে।
I'm going to write about what I did last winter.,গত শীতে আমি কী কী করেছি সেসব আমি লিখতে যাচ্ছি।
I've got Tom's address somewhere on my computer.,আমার কম্পিউটারে কোথাও এক জায়গায় টমের ঠিকানা আছে।
"If this doesn't work, we can try something else.","যদি এটি কাজ না করে, আমরা অন্য কিছু চেষ্টা করতে পারি।"
It is certain that the price of gold will go up.,সোনার দাম যে বাড়বে তা নিশ্চিত।
No one in his class can run faster than he does.,তার ক্লাসের কেউ তার থেকে দ্রুত দৌড়াতে পারে না।
"Seen from the moon, the earth looks like a ball.",চাঁদ থেকে আকাশকে দেখতে বলের মতো লাগে।
She explained the literal meaning of the phrase.,তিনি বাক্যাংশটির আক্ষরিক অর্থ ব্যাখ্যা করে দিলেন।
She explained the literal meaning of the phrase.,উনি বাক্যাংশটির আক্ষরিক অর্থ ব্যাখ্যা করে দিলেন।
That guy who was just here gave me this for you.,যে লোকটি একটু আগে এখানে ছিল সে আমায় এটা দিয়েছে আপনাকে দেওয়ার জন্য।
The child's face glowed when he saw Santa Claus.,সান্তা ক্লজকে দেখে শিশুটির মুখ উজ্জ্বল হয়ে উঠল।
The only thing constant in this world is change.,এই পৃথিবীতে ধ্রুবক একমাত্র জিনিস হলো পরিবর্তন।
The train was delayed because of heavy snowfall.,প্রচণ্ড তুষারপাতের কারণে ট্রেন বিলম্বিত হয়েছিলো।
There still weren't any visible signs of spring.,বসন্তের প্রত্যক্ষ কোন চিহ্ন তখনও ছিলো না।
This is by far the best restaurant in this area.,এটা এই এলাকার সেরা রেস্তোরাঁ।
"Tom sat alone in his room, waiting by the phone.","টম ঘরে একলা বসেছিলো, ফোনের পাশে অপেক্ষা করছিলো।"
Two months have passed since he left for France.,তিনি ফ্রান্সে যাওয়ার পর দুই মাস কেটে গেছে।
What you do is more important than what you say.,আপনি কী বলছেন তার চেয়ে আপনি কী করছেন সেটা বেশি গুরুত্বপূর্ণ।
"When she was reading the letter, she looked sad.",চিঠিটা পড়ার সময় তাকে বিষণ্ণ লাগছিল।
Would you go to Australia if you had the chance?,সুযোগ পেলে অস্ট্রেলিয়া কি যাবেন?
You would have to practice the violin every day.,তোমাকে প্রত্যেকদিন বেহালা বাজানো অভ্যাস করতে হবে।
"At first, I couldn't make out what he was saying.",প্রথমে আমি বুঝতেই পারিনি উনি কি বলছেন।
Do you know which barbershop Tom usually goes to?,আপনি কি জানেন টম সাধারণত কোন নাপিতের দোকানে যায়?
He expected that their talk was going to be long.,তিনি আশা করেছিলেন যে তাদের আলোচনা দীর্ঘ হবে।
"He tried to make his wife happy, but he couldn't.","সে তার স্ত্রীকে খুশি করার চেষ্টা করেছিল, কিন্তু পারেনি।"
How come you know so much about Japanese history?,জাপানের ইতিহাস নিয়ে এত কিছু আপনি কীভাবে জানেন?
How many black and white movies have you watched?,আপনি কতগুলো সাদা-কালো সিনেমা দেখেছেন?
I gained a lot of weight when I was in Australia.,আমি যখন অস্ট্রেলিয়ায় ছিলাম তখন আমার ওজন অনেক বেড়ে গিয়েছিল।
I have an old computer that I don't want anymore.,আমার একটা পুরানো কম্পিউটার আছে যেটার আমার আর কোনো প্রয়োজন নেই।
I wonder what I should get you for your birthday.,আমি ভাবছি তোমাকে জন্মদিনে কী দেবো।
I'm actually not sure what I should be doing now.,আমার এখন কী করা উচিত সে বিষয়ে আসলে আমি নিশ্চিত নই।
"If you work hard, all your dreams will come true.","যদি তুমি কঠোর পরিশ্রম করো, তোমার সব স্বপ্ন পূরণ হবে।"
It is important to remember who your friends are.,তোমার বন্ধু কারা সেটা মনে রাখাটা জরুরি।
It's been a while since we've had lunch together.,আমরা একসাথে দুপুরের খাবার খেয়েছি অনেকদিন হয়ে গেছে।
Just staying alive in these times is hard enough.,এখনকার সময় শুধু বেঁচে থাকাটাও যথেষ্ট কঠিন।
Mental health is as important as physical health.,শারীরিক স্বাস্থ্যের মতো মানসিক স্বাস্থ্যও গুরুত্বপূর্ণ।
There wasn't much news in last night's newspaper.,গত রাতের খবরের কাগজে বেশি খবর ছিল না।
There's no way I'm going to leave you alone here.,আমি কোনমতেই তোমাকে এখানে একলা ছেড়ে রেখে যেতে পারবো না।
This project will take at least a year to finish.,এই প্রকল্পটা শেষ হতে আরো অন্তত এক বছর লাগবে।
Tom didn't say why he wasn't happy with our work.,আমাদের কাজে খুশি না হওয়ার কারণ টম বলেনি।
We might go to Australia next month to visit Tom.,আমরা হয়তো আগামী মাসে টমকে দেখতে অস্ট্রেলিয়া যেতে পারি।
Will she forgive him for forgetting her birthday?,তার জন্মদিন ভুলে যাওয়ার জন্য সে কি আমায় ক্ষমা করবে?
"You know that I don't have to do that, don't you?","তুমি জানো আমাকে এটা করতে হবে না, তাই না?"
"Why aren't you going? ""Because I don't want to.""","আপনি যাচ্ছেন না কেন? ""কারন আমি যেতে চাই না।"""
